Date,Year,Month,Urban_Pixels,Urban_Area_km2
2015-01-08,2015,1,4107,3.6963
2015-01-24,2015,1,17953,16.1577
2015-02-09,2015,2,26191,23.5719
2015-02-25,2015,2,28523,25.6707
2015-03-29,2015,3,178170,160.353
2015-04-14,2015,4,28611,25.7499
2015-04-30,2015,4,13367,12.0303
2015-05-16,2015,5,703,0.6327
2015-06-01,2015,6,2114,1.9026
2015-07-03,2015,7,13823,12.4407
2015-07-19,2015,7,0,0.0
2015-08-04,2015,8,9334,8.4006
2015-08-20,2015,8,33775,30.3975
2015-09-05,2015,9,13863,12.4767
2015-09-21,2015,9,7366,6.6294
2015-10-07,2015,10,40770,36.693
2015-10-23,2015,10,806,0.7254
2015-11-24,2015,11,20055,18.0495
2015-12-26,2015,12,7755,6.9795
2016-01-27,2016,1,3725,3.3525
2016-02-12,2016,2,31549,28.3941
2016-02-28,2016,2,15307,13.7763
2016-03-15,2016,3,122401,110.1609
2016-03-31,2016,3,102341,92.1069
2016-04-16,2016,4,1830,1.647
2016-05-02,2016,5,18034,16.2306
2016-05-18,2016,5,426,0.3834
2016-06-03,2016,6,4667,4.2003
2016-07-05,2016,7,8796,7.9164
2016-07-21,2016,7,2021,1.8189
2016-08-06,2016,8,7397,6.6573
2016-08-22,2016,8,63,0.0567
2016-09-07,2016,9,7265,6.5385
2016-09-23,2016,9,43026,38.7234
2016-10-09,2016,10,184071,165.6639
2016-10-25,2016,10,62725,56.4525
2016-11-10,2016,11,38673,34.8057
2016-12-12,2016,12,6475,5.8275
2016-12-28,2016,12,15626,14.0634
2017-01-13,2017,1,10900,9.81
2017-01-29,2017,1,13836,12.4524
2017-02-14,2017,2,6056,5.4504
2017-03-02,2017,3,45016,40.5144
2017-03-18,2017,3,18300,16.47
2017-04-03,2017,4,15974,14.3766
2017-04-19,2017,4,7140,6.426
2017-05-05,2017,5,12896,11.6064
2017-06-06,2017,6,7060,6.354
2017-06-22,2017,6,15667,14.1003
2017-07-08,2017,7,6460,5.814
2017-07-24,2017,7,19704,17.7336
2017-08-25,2017,8,45373,40.8357
2017-09-10,2017,9,95,0.0855
2017-10-12,2017,10,7,0.0063
2017-10-28,2017,10,4964,4.4676
2017-11-13,2017,11,3392,3.0528
2017-11-29,2017,11,0,0.0
2017-12-15,2017,12,13919,12.5271
2017-12-31,2017,12,7530,6.777
2018-01-16,2018,1,1122,1.0098
2018-02-01,2018,2,49034,44.1306
2018-02-17,2018,2,157833,142.0497
2018-03-05,2018,3,257731,231.9579
2018-03-21,2018,3,148009,133.2081
2018-04-06,2018,4,31193,28.0737
2018-04-22,2018,4,183,0.1647
2018-05-08,2018,5,9165,8.2485
2018-05-24,2018,5,226,0.2034
2018-06-09,2018,6,6254,5.6286
2018-06-25,2018,6,3375,3.0375
2018-07-27,2018,7,8909,8.0181
2018-08-12,2018,8,1327,1.1943
2018-08-28,2018,8,39297,35.3673
2018-09-13,2018,9,112245,101.0205
2018-09-29,2018,9,72058,64.8522
2018-10-15,2018,10,29312,26.3808
2018-11-16,2018,11,1312,1.1808
2018-12-02,2018,12,20969,18.8721
2018-12-18,2018,12,85,0.0765
2019-01-03,2019,1,10284,9.2556
2019-01-19,2019,1,1453,1.3077
2019-02-04,2019,2,31,0.0279
2019-02-20,2019,2,81403,73.2627
2019-03-08,2019,3,95167,85.6503
2019-03-24,2019,3,105246,94.7214
2019-04-09,2019,4,199855,179.8695
2019-04-25,2019,4,10871,9.7839
